original_column_name,column_name,column_description,data_format,value_description
id,,the unique identifier of the crypto transaction,integer,
customer_id,customer id,the id of the customer who made the transaction,integer,Maps to customer(id)
crypto_type,crypto type,the type of cryptocurrency,text,"commonsense evidence:
Common types include: BTC (Bitcoin), ETH (Ethereum), USDT (Tether), XRP, etc."
amount,amount,the amount of cryptocurrency transacted,decimal,The quantity of cryptocurrency units
usd_value,USD value,the equivalent value in US dollars,decimal,"commonsense evidence:
The USD value at the time of transaction. Used for regulatory threshold calculations."
wallet_address,wallet address,the cryptocurrency wallet address,text,"commonsense evidence:
A unique alphanumeric identifier for the crypto wallet. Can be used to trace transactions on blockchain."
transaction_hash,transaction hash,the unique blockchain transaction identifier,text,"commonsense evidence:
The unique hash generated by the blockchain network to identify this specific transaction."
transaction_date,transaction date,the date and time of the transaction,datetime,Format: YYYY-MM-DD HH:MM:SS
exchange_used,exchange used,the cryptocurrency exchange platform used,text,"commonsense evidence:
Common exchanges: Binance, Coinbase, Kraken, Upbit, etc."
suspicious_flag,suspicious flag,whether the transaction was flagged as suspicious,boolean,"commonsense evidence:
1 means the transaction was flagged for review, 0 means normal transaction."
