original_column_name,column_name,column_description,data_format,value_description
id,,the unique identifier of the transaction,integer,Primary key for aml_transaction table
customer_id,customer id,the id of the customer who made the transaction,integer,Maps to customer(id)
transaction_type_id,transaction type id,the type of transaction,integer,Maps to transaction_type(id)
amount,amount,the transaction amount,decimal,"commonsense evidence:
The amount is in the customer's base currency. Large amounts may trigger additional scrutiny."
currency_id,currency id,the currency of the transaction,integer,Maps to currency(id)
transaction_date,transaction date,the date and time of the transaction,datetime,Format: YYYY-MM-DD HH:MM:SS
counterparty_name,counterparty name,the name of the other party in the transaction,text,Name of the person or entity on the other side of the transaction
counterparty_country_id,counterparty country id,the country of the counterparty,integer,Maps to country(id)
transaction_channel_id,transaction channel id,the channel through which transaction was made,integer,Maps to transaction_channel(id)
suspicious_flag,suspicious flag,whether the transaction was flagged as suspicious,boolean,"commonsense evidence:
1 means the transaction was flagged for review, 0 means normal transaction."
alert_id,alert id,the id of the alert if transaction was flagged,integer,"Maps to alert(id)
NULL if not flagged"
description,description,additional details about the transaction,text,Optional notes or descriptions about the transaction
